lat,long,time,id
43.2529949,-79.92004,2023-03-17 02:47:10.232000+00:00,159
43.2595688,-79.9199306,2023-03-17 12:59:50.277000+00:00,160
43.2600806,-79.9208999,2023-03-17 13:00:51.246000+00:00,161
43.2604575,-79.9212381,2023-03-17 13:01:52.223000+00:00,162
43.26076419,-79.92213108,2023-03-17 13:03:02.900000+00:00,163
43.2609754,-79.9227651,2023-03-17 13:04:04.850000+00:00,164
43.2610011,-79.9228311,2023-03-17 13:05:06.162000+00:00,165
43.2610007,-79.9228111,2023-03-17 13:06:07.406000+00:00,166
43.2609913,-79.9228014,2023-03-17 13:07:08.666000+00:00,167
43.2610251,-79.9228644,2023-03-17 13:08:10.206000+00:00,168
43.2610224,-79.9228694,2023-03-17 13:09:12.263000+00:00,169
43.2610242,-79.9228582,2023-03-17 13:10:14.253000+00:00,170
43.2609944,-79.9228106,2023-03-17 13:11:16.315000+00:00,171
43.2609983,-79.9228264,2023-03-17 13:12:17.694000+00:00,172
43.2610011,-79.9228423,2023-03-17 13:13:19.012000+00:00,173
43.2609989,-79.9228235,2023-03-17 13:14:21.275000+00:00,174
43.261025,-79.9228697,2023-03-17 13:15:23.255000+00:00,175
43.2609998,-79.9228317,2023-03-17 13:16:25.280000+00:00,176
43.2610216,-79.9228676,2023-03-17 13:17:26.502000+00:00,177
43.2610025,-79.9228458,2023-03-17 13:18:27.692000+00:00,178
43.261003,-79.9228308,2023-03-17 13:19:29.022000+00:00,179
43.2610277,-79.9228636,2023-03-17 13:20:30.308000+00:00,180
43.2609971,-79.9228165,2023-03-17 13:21:31.194000+00:00,181
43.2609884,-79.9227862,2023-03-17 13:22:32.492000+00:00,182
43.2609757,-79.9227539,2023-03-17 13:23:33.777000+00:00,183
43.2609895,-79.9227786,2023-03-17 13:24:35.191000+00:00,184
43.2609614,-79.9227383,2023-03-17 13:25:36.588000+00:00,185
43.2609841,-79.9227745,2023-03-17 13:26:37.968000+00:00,186
43.2609722,-79.9227721,2023-03-17 13:27:39.331000+00:00,187
43.2609774,-79.9227779,2023-03-17 13:28:40.731000+00:00,188
43.2610052,-79.92273,2023-03-17 13:29:42.152000+00:00,189
43.2609746,-79.9227719,2023-03-17 13:30:43.517000+00:00,190
43.2609891,-79.9228043,2023-03-17 13:31:44.869000+00:00,191
43.2609857,-79.922799,2023-03-17 13:32:46.207000+00:00,192
43.2609799,-79.9227879,2023-03-17 13:33:47.514000+00:00,193
43.260998,-79.9227915,2023-03-17 13:34:48.880000+00:00,194
43.2609908,-79.9227967,2023-03-17 13:35:50.299000+00:00,195
43.2610124,-79.922824,2023-03-17 13:36:51.563000+00:00,196
43.261006,-79.9228097,2023-03-17 13:37:52.824000+00:00,197
43.2609848,-79.9227725,2023-03-17 13:38:54.222000+00:00,198
43.2610143,-79.9228343,2023-03-17 13:39:55.559000+00:00,199
43.2609232,-79.9226993,2023-03-17 13:40:56.852000+00:00,200
43.2609916,-79.9227948,2023-03-17 13:41:58.158000+00:00,201
43.2609612,-79.9227259,2023-03-17 13:42:59.534000+00:00,202
43.2609839,-79.9227636,2023-03-17 13:44:00.853000+00:00,203
43.2610155,-79.9228517,2023-03-17 13:45:01.785000+00:00,204
43.2610224,-79.9228679,2023-03-17 13:46:37.714000+00:00,205
43.2610209,-79.9228687,2023-03-17 13:47:38.736000+00:00,206
43.2610235,-79.9228724,2023-03-17 13:48:39.804000+00:00,207
43.2610248,-79.9228701,2023-03-17 13:49:40.840000+00:00,208
43.2610083,-79.9228433,2023-03-17 13:51:16.765000+00:00,209
43.2609642,-79.9227313,2023-03-17 13:52:52.733000+00:00,210
43.2610842,-79.9228646,2023-03-17 13:53:53.676000+00:00,211
43.261027,-79.9228571,2023-03-17 13:54:54.451000+00:00,212
43.260943,-79.922707,2023-03-17 13:55:55.347000+00:00,213
43.2610097,-79.9227896,2023-03-17 13:57:31.128000+00:00,214
43.2610277,-79.9228516,2023-03-17 13:58:31.908000+00:00,215
43.2609423,-79.9227072,2023-03-17 13:59:32.752000+00:00,216
43.260977,-79.9227845,2023-03-17 14:02:34.987000+00:00,217
43.2609746,-79.922733,2023-03-17 14:04:11.904000+00:00,218
43.2610218,-79.9228652,2023-03-17 14:05:48.202000+00:00,219
43.2609879,-79.9227968,2023-03-17 14:06:49.680000+00:00,220
43.2609821,-79.9227893,2023-03-17 14:07:51.064000+00:00,221
43.2610244,-79.9228682,2023-03-17 14:08:52.370000+00:00,222
43.2610017,-79.9228394,2023-03-17 14:09:53.644000+00:00,223
43.2610033,-79.92284,2023-03-17 14:10:54.982000+00:00,224
43.2610183,-79.9228657,2023-03-17 14:11:56.302000+00:00,225
43.261023,-79.9228711,2023-03-17 14:12:57.740000+00:00,226
43.2610253,-79.9228692,2023-03-17 14:13:59.146000+00:00,227
43.2610242,-79.9228706,2023-03-17 14:15:00.526000+00:00,228
43.2609884,-79.9227367,2023-03-17 14:16:01.344000+00:00,229
43.2610114,-79.9228562,2023-03-17 14:17:37.252000+00:00,230
43.2609599,-79.9227317,2023-03-17 14:18:38.319000+00:00,231
43.2610048,-79.9228281,2023-03-17 14:19:39.697000+00:00,232
43.2610244,-79.9228704,2023-03-17 14:20:40.976000+00:00,233
43.2610025,-79.9228098,2023-03-17 14:21:42.258000+00:00,234
43.261002,-79.9228164,2023-03-17 14:22:43.491000+00:00,235
43.2609978,-79.9228161,2023-03-17 14:23:45.343000+00:00,236
43.2609962,-79.9228191,2023-03-17 14:24:47.318000+00:00,237
43.2610285,-79.9228669,2023-03-17 14:25:48.589000+00:00,238
43.2610074,-79.9228441,2023-03-17 14:26:49.873000+00:00,239
43.2610255,-79.9228655,2023-03-17 14:27:51.373000+00:00,240
43.2610252,-79.9228644,2023-03-17 14:28:52.591000+00:00,241
43.2609927,-79.9228161,2023-03-17 14:29:53.894000+00:00,242
43.2609785,-79.9227615,2023-03-17 14:30:54.914000+00:00,243
43.2610025,-79.9228412,2023-03-17 14:31:55.850000+00:00,244
43.2609853,-79.9227897,2023-03-17 14:32:57.490000+00:00,245
43.261001,-79.9227539,2023-03-17 14:33:58.322000+00:00,246
43.2610186,-79.9228274,2023-03-17 14:34:59.276000+00:00,247
43.261004,-79.9228181,2023-03-17 14:36:35.672000+00:00,248
43.2610054,-79.9228115,2023-03-17 14:37:36.977000+00:00,249
43.2609919,-79.9228086,2023-03-17 14:38:38.314000+00:00,250
43.2610004,-79.9228263,2023-03-17 14:40:14.554000+00:00,251
43.2610088,-79.922852,2023-03-17 14:41:15.798000+00:00,252
43.2609949,-79.9228011,2023-03-17 14:42:17.359000+00:00,253
43.260958,-79.9227275,2023-03-17 14:43:18.706000+00:00,254
43.2609944,-79.9228058,2023-03-17 14:44:20.109000+00:00,255
43.2610017,-79.9227867,2023-03-17 14:45:21.441000+00:00,256
43.2610041,-79.9228286,2023-03-17 14:46:22.709000+00:00,257
43.2609886,-79.9227869,2023-03-17 14:47:23.944000+00:00,258
43.2609677,-79.9227487,2023-03-17 14:48:25.226000+00:00,259
43.2609406,-79.9226933,2023-03-17 14:49:26.456000+00:00,260
43.2609403,-79.9226909,2023-03-17 14:50:27.675000+00:00,261
43.2609663,-79.9227398,2023-03-17 14:51:28.922000+00:00,262
43.2609902,-79.9227989,2023-03-17 14:52:30.224000+00:00,263
43.2609943,-79.9228051,2023-03-17 14:53:31.533000+00:00,264
43.2609451,-79.9227017,2023-03-17 14:54:33.364000+00:00,265
43.2610006,-79.9228026,2023-03-17 14:55:34.638000+00:00,266
43.2609916,-79.9227958,2023-03-17 14:57:11.392000+00:00,267
43.2609719,-79.9227386,2023-03-17 14:58:12.712000+00:00,268
43.2609394,-79.9226968,2023-03-17 14:59:14.039000+00:00,269
43.2609945,-79.9227575,2023-03-17 15:00:15.401000+00:00,270
43.2610103,-79.9228436,2023-03-17 15:01:51.580000+00:00,271
43.2610269,-79.9228581,2023-03-17 15:02:52.422000+00:00,272
43.2610226,-79.9228575,2023-03-17 15:04:17.748000+00:00,273
43.2610254,-79.9228668,2023-03-17 15:05:18.533000+00:00,274
43.2609869,-79.9227969,2023-03-17 15:06:19.366000+00:00,275
43.261023,-79.9228666,2023-03-17 15:07:20.238000+00:00,276
43.261024,-79.9228712,2023-03-17 15:11:01.074000+00:00,277
43.2609901,-79.9227985,2023-03-17 15:12:02.268000+00:00,278
43.2610244,-79.9228704,2023-03-17 15:13:03.188000+00:00,279
43.2609842,-79.9227898,2023-03-17 15:14:04.556000+00:00,280
43.2609877,-79.9227879,2023-03-17 15:15:05.846000+00:00,281
43.2610317,-79.9228623,2023-03-17 15:16:07.346000+00:00,282
43.2610279,-79.9228698,2023-03-17 15:17:08.257000+00:00,283
43.2610279,-79.9228698,2023-03-17 15:18:09.232000+00:00,284
43.261052,-79.9228639,2023-03-17 15:19:10.467000+00:00,285
43.2610187,-79.9228601,2023-03-17 15:20:12.371000+00:00,286
43.2610072,-79.9228322,2023-03-17 15:21:12.479000+00:00,287
43.2610072,-79.9228322,2023-03-17 15:22:13.250000+00:00,288
43.2610072,-79.9228322,2023-03-17 15:23:13.337000+00:00,289
43.2610072,-79.9228322,2023-03-17 15:24:13.485000+00:00,290
43.2610278,-79.9228703,2023-03-17 15:25:14.731000+00:00,291
43.2610273,-79.9228729,2023-03-17 15:26:15.994000+00:00,292
43.261022,-79.9228567,2023-03-17 15:27:17.244000+00:00,293
43.2610237,-79.9228653,2023-03-17 15:28:18.510000+00:00,294
43.2610229,-79.9228687,2023-03-17 15:29:20.373000+00:00,295
43.2610239,-79.9228712,2023-03-17 15:30:21.289000+00:00,296
43.2610239,-79.9228711,2023-03-17 15:31:22.245000+00:00,297
43.2610252,-79.9228656,2023-03-17 15:32:23.197000+00:00,298
43.2610069,-79.9228471,2023-03-17 15:33:24.993000+00:00,299
43.2610232,-79.9228577,2023-03-17 15:34:25.979000+00:00,300
43.2609399,-79.9226927,2023-03-17 15:35:26.828000+00:00,301
43.2609421,-79.9227074,2023-03-17 15:36:27.669000+00:00,302
43.2610253,-79.9228678,2023-03-17 15:37:28.617000+00:00,303
43.2610164,-79.9228589,2023-03-17 15:38:29.564000+00:00,304
43.2610036,-79.9228311,2023-03-17 15:39:30.784000+00:00,305
43.2610247,-79.9228689,2023-03-17 15:40:32.129000+00:00,306
43.2609421,-79.9227074,2023-03-17 15:41:33.033000+00:00,307
43.2609444,-79.9227033,2023-03-17 15:43:43.897000+00:00,308
43.2609627,-79.9227312,2023-03-17 15:44:45.019000+00:00,309
43.2609804,-79.9227425,2023-03-17 15:45:47.056000+00:00,310
43.2609683,-79.9227378,2023-03-17 15:47:23.030000+00:00,311
43.2610258,-79.9228666,2023-03-17 15:48:24.010000+00:00,312
43.2610245,-79.922867,2023-03-17 15:49:25.050000+00:00,313
43.2609892,-79.922802,2023-03-17 15:50:26.388000+00:00,314
43.2610359,-79.9228662,2023-03-17 15:51:27.621000+00:00,315
43.2610027,-79.9228374,2023-03-17 15:52:29.420000+00:00,316
43.2609949,-79.9228175,2023-03-17 15:53:30.611000+00:00,317
43.2610253,-79.9228702,2023-03-17 15:55:41.987000+00:00,318
43.2610222,-79.9228653,2023-03-17 15:57:18.418000+00:00,319
43.2609919,-79.9228045,2023-03-17 15:58:20.480000+00:00,320
43.2610253,-79.9228702,2023-03-17 15:59:21.739000+00:00,321
43.2610279,-79.9228685,2023-03-17 16:00:23.398000+00:00,322
43.2610171,-79.9228635,2023-03-17 16:01:25.431000+00:00,323
43.2610242,-79.9228706,2023-03-17 16:02:27.452000+00:00,324
43.2610242,-79.9228706,2023-03-17 16:03:28.672000+00:00,325
43.2610014,-79.9228195,2023-03-17 16:04:29.937000+00:00,326
43.2610248,-79.9228701,2023-03-17 16:05:31.431000+00:00,327
43.261025,-79.9228701,2023-03-17 16:06:32.690000+00:00,328
43.261025,-79.9228688,2023-03-17 16:07:33.987000+00:00,329
43.2610288,-79.9228726,2023-03-17 16:08:35.387000+00:00,330
43.2609817,-79.9227878,2023-03-17 16:09:37.405000+00:00,331
43.2610248,-79.9228701,2023-03-17 16:10:39.492000+00:00,332
43.2609994,-79.9228244,2023-03-17 16:11:41.421000+00:00,333
43.2609788,-79.9227843,2023-03-17 16:12:42.675000+00:00,334
43.2609807,-79.9227882,2023-03-17 16:13:44.057000+00:00,335
43.2609641,-79.9227359,2023-03-17 16:14:45.042000+00:00,336
43.2609704,-79.9227432,2023-03-17 16:15:46.099000+00:00,337
43.2609433,-79.922707,2023-03-17 16:16:47.097000+00:00,338
43.261003,-79.9228078,2023-03-17 16:17:48.047000+00:00,339
43.2610786,-79.9228667,2023-03-17 16:18:49.070000+00:00,340
43.2610244,-79.9228704,2023-03-17 16:19:50.051000+00:00,341
43.2610049,-79.922816,2023-03-17 16:21:22.387000+00:00,342
43.2609709,-79.9227363,2023-03-17 16:22:23.655000+00:00,343
43.2609432,-79.9227072,2023-03-17 16:23:59.914000+00:00,344
43.2609994,-79.9228272,2023-03-17 16:25:36.227000+00:00,345
43.2609439,-79.9227022,2023-03-17 16:26:37.532000+00:00,346
43.2609764,-79.9227824,2023-03-17 16:27:38.812000+00:00,347
43.2609433,-79.922707,2023-03-17 16:28:40.421000+00:00,348
43.2610339,-79.9228705,2023-03-17 16:29:42.415000+00:00,349
43.2609819,-79.922773,2023-03-17 16:30:43.788000+00:00,350
43.2610007,-79.9228044,2023-03-17 16:32:20.354000+00:00,351
43.2609952,-79.9228015,2023-03-17 16:33:21.682000+00:00,352
43.2609987,-79.9228187,2023-03-17 16:34:22.997000+00:00,353
43.261024,-79.9228578,2023-03-17 16:35:24.435000+00:00,354
43.2609551,-79.9227233,2023-03-17 16:36:25.726000+00:00,355
43.2609843,-79.9227923,2023-03-17 16:37:27.051000+00:00,356
43.2609557,-79.9227248,2023-03-17 16:38:28.410000+00:00,357
43.260943,-79.922707,2023-03-17 16:39:30.460000+00:00,358
43.2609432,-79.9227072,2023-03-17 16:41:42.378000+00:00,359
43.260943,-79.922707,2023-03-17 16:42:43.713000+00:00,360
43.2609759,-79.9227644,2023-03-17 16:43:45.429000+00:00,361
43.2609782,-79.9227595,2023-03-17 16:44:47.466000+00:00,362
43.2609693,-79.922765,2023-03-17 16:45:48.710000+00:00,363
43.2609555,-79.9227241,2023-03-17 16:46:50.495000+00:00,364
43.2609578,-79.9227267,2023-03-17 16:47:52.458000+00:00,365
43.2609433,-79.922707,2023-03-17 16:49:28.815000+00:00,366
43.2609585,-79.9227294,2023-03-17 16:51:05.467000+00:00,367
43.2609434,-79.9227071,2023-03-17 16:52:07.445000+00:00,368
43.2610284,-79.9228637,2023-03-17 16:53:08.807000+00:00,369
43.2609434,-79.9227071,2023-03-17 16:54:10.501000+00:00,370
43.2610239,-79.9228712,2023-03-17 16:55:46.325000+00:00,371
43.2609401,-79.9226976,2023-03-17 16:56:47.175000+00:00,372
43.2609557,-79.9227248,2023-03-17 16:57:48.174000+00:00,373
43.2610242,-79.9228706,2023-03-17 16:58:49.140000+00:00,374
