lat,long,time
51.338587,-0.252443,2023-01-13 16:10:28+00:00
51.338575,-0.252504,2023-01-13 16:10:29+00:00
51.338568,-0.252552,2023-01-13 16:10:30+00:00
51.338568,-0.252592,2023-01-13 16:10:31+00:00
51.338556,-0.252647,2023-01-13 16:10:32+00:00
51.33854,-0.252689,2023-01-13 16:10:33+00:00
51.338524,-0.252719,2023-01-13 16:10:34+00:00
51.338517,-0.252743,2023-01-13 16:10:35+00:00
51.338497,-0.252778,2023-01-13 16:10:36+00:00
51.338475,-0.252807,2023-01-13 16:10:37+00:00
51.338448,-0.252839,2023-01-13 16:10:38+00:00
51.33843,-0.252864,2023-01-13 16:10:39+00:00
51.338401,-0.252896,2023-01-13 16:10:40+00:00
51.33838,-0.252922,2023-01-13 16:10:41+00:00
51.338352,-0.252948,2023-01-13 16:10:42+00:00
51.338327,-0.25298,2023-01-13 16:10:43+00:00
51.338307,-0.253008,2023-01-13 16:10:44+00:00
51.338284,-0.25303,2023-01-13 16:10:45+00:00
51.338256,-0.253057,2023-01-13 16:10:46+00:00
51.338225,-0.253079,2023-01-13 16:10:47+00:00
51.338205,-0.253113,2023-01-13 16:10:48+00:00
51.338187,-0.25313,2023-01-13 16:10:49+00:00
51.338165,-0.253159,2023-01-13 16:10:50+00:00
51.338146,-0.253173,2023-01-13 16:10:51+00:00
51.338126,-0.253206,2023-01-13 16:10:52+00:00
51.338097,-0.253228,2023-01-13 16:10:53+00:00
51.338069,-0.253251,2023-01-13 16:10:54+00:00
51.338044,-0.253272,2023-01-13 16:10:55+00:00
51.338024,-0.253309,2023-01-13 16:10:56+00:00
51.338,-0.253337,2023-01-13 16:10:57+00:00
51.337973,-0.253363,2023-01-13 16:10:58+00:00
51.337945,-0.253383,2023-01-13 16:10:59+00:00
51.33792,-0.253398,2023-01-13 16:11:00+00:00
51.337896,-0.253399,2023-01-13 16:11:01+00:00
51.337872,-0.25339,2023-01-13 16:11:02+00:00
51.337858,-0.253376,2023-01-13 16:11:03+00:00
51.337833,-0.253347,2023-01-13 16:11:04+00:00
51.337812,-0.253316,2023-01-13 16:11:05+00:00
51.337791,-0.253285,2023-01-13 16:11:06+00:00
51.337776,-0.253259,2023-01-13 16:11:07+00:00
51.337754,-0.253241,2023-01-13 16:11:08+00:00
51.337732,-0.253223,2023-01-13 16:11:09+00:00
51.337711,-0.253201,2023-01-13 16:11:10+00:00
51.337685,-0.253179,2023-01-13 16:11:11+00:00
51.337663,-0.253156,2023-01-13 16:11:12+00:00
51.337639,-0.253135,2023-01-13 16:11:13+00:00
51.337614,-0.253102,2023-01-13 16:11:14+00:00
51.33759,-0.25307,2023-01-13 16:11:15+00:00
51.337564,-0.253038,2023-01-13 16:11:16+00:00
51.337539,-0.253007,2023-01-13 16:11:17+00:00
51.337514,-0.252977,2023-01-13 16:11:18+00:00
51.337489,-0.252955,2023-01-13 16:11:19+00:00
51.337463,-0.252924,2023-01-13 16:11:20+00:00
51.337435,-0.252897,2023-01-13 16:11:21+00:00
51.337411,-0.252872,2023-01-13 16:11:22+00:00
51.337386,-0.252855,2023-01-13 16:11:23+00:00
51.337361,-0.25283,2023-01-13 16:11:24+00:00
51.337335,-0.252794,2023-01-13 16:11:25+00:00
51.337318,-0.252752,2023-01-13 16:11:26+00:00
51.337321,-0.252703,2023-01-13 16:11:27+00:00
51.337335,-0.252661,2023-01-13 16:11:28+00:00
51.337357,-0.252614,2023-01-13 16:11:29+00:00
51.337378,-0.252579,2023-01-13 16:11:30+00:00
51.337402,-0.252526,2023-01-13 16:11:31+00:00
51.337423,-0.252481,2023-01-13 16:11:32+00:00
51.337443,-0.252435,2023-01-13 16:11:33+00:00
51.337462,-0.25239,2023-01-13 16:11:34+00:00
51.337478,-0.252352,2023-01-13 16:11:35+00:00
51.337495,-0.252318,2023-01-13 16:11:36+00:00
51.337515,-0.252281,2023-01-13 16:11:37+00:00
51.337533,-0.252237,2023-01-13 16:11:38+00:00
51.337551,-0.252194,2023-01-13 16:11:39+00:00
51.337574,-0.252147,2023-01-13 16:11:40+00:00
51.337594,-0.252119,2023-01-13 16:11:41+00:00
51.337621,-0.252087,2023-01-13 16:11:42+00:00
51.337647,-0.252063,2023-01-13 16:11:43+00:00
51.337682,-0.252031,2023-01-13 16:11:44+00:00
51.337704,-0.252012,2023-01-13 16:11:45+00:00
51.337733,-0.251977,2023-01-13 16:11:46+00:00
51.337747,-0.251938,2023-01-13 16:11:47+00:00
51.337755,-0.251885,2023-01-13 16:11:48+00:00
51.337747,-0.251834,2023-01-13 16:11:49+00:00
51.337726,-0.251794,2023-01-13 16:11:50+00:00
51.337694,-0.251776,2023-01-13 16:11:51+00:00
51.337665,-0.251775,2023-01-13 16:11:52+00:00
51.337639,-0.2518,2023-01-13 16:11:53+00:00
51.337612,-0.251837,2023-01-13 16:11:54+00:00
51.337601,-0.251893,2023-01-13 16:11:55+00:00
51.337588,-0.251939,2023-01-13 16:11:56+00:00
51.337578,-0.251993,2023-01-13 16:11:57+00:00
51.337564,-0.252044,2023-01-13 16:11:58+00:00
51.337554,-0.252093,2023-01-13 16:11:59+00:00
51.337543,-0.252136,2023-01-13 16:12:00+00:00
51.337533,-0.252184,2023-01-13 16:12:01+00:00
51.337524,-0.252223,2023-01-13 16:12:02+00:00
51.337508,-0.252269,2023-01-13 16:12:03+00:00
51.337494,-0.252301,2023-01-13 16:12:04+00:00
