start_lat,start_long,total_time,total_distance,velocity
51.337812,-0.253316,1.0,3.1820388155458157,3.1820388155458157
51.337791,-0.253285,1.0,3.1820394796595304,3.1820394796595304
51.337776,-0.253259,1.0,2.4632872986184444,2.4632872986184444
51.337754,-0.253241,1.0,2.750307348787294,2.750307348787294
51.337732,-0.253223,1.0,2.750307612992816,2.750307612992816
51.337711,-0.253201,1.0,2.7944511009517874,2.7944511009517874
51.337685,-0.253179,1.0,3.2737897167250116,3.2737897167250116
51.337663,-0.253156,1.0,2.9257018326235107,2.9257018326235107
51.337639,-0.253135,1.0,3.044851803973917,3.044851803973917
51.337614,-0.253102,1.0,3.6089465485128405,3.6089465485128405
51.33759,-0.25307,1.0,3.4788416567783766,3.4788416567783766
51.337564,-0.253038,1.0,3.652411010490825,3.652411010490825
51.337539,-0.253007,1.0,3.521776087558434,3.521776087558434
51.337514,-0.252977,1.0,3.479465140056055,3.479465140056055
51.337489,-0.252955,1.0,3.1759188059475445,3.1759188059475445
51.337463,-0.252924,1.0,3.6102881220891754,3.6102881220891754
51.337435,-0.252897,1.0,3.6392723541771215,3.6392723541771215
51.337411,-0.252872,1.0,3.1882136100816614,3.1882136100816614
51.337386,-0.252855,1.0,3.023158476253482,3.023158476253482
51.337361,-0.25283,1.0,3.2819530113810877,3.2819530113810877
51.337335,-0.252794,1.0,3.8289787600340515,3.8289787600340515
51.337318,-0.252752,1.0,3.4847832749570813,3.4847832749570813
51.337321,-0.252703,1.0,3.4309582573786175,3.4309582573786175
51.337335,-0.252661,1.0,3.3155083713357634,3.3155083713357634
51.337357,-0.252614,1.0,4.088815424881389,4.088815424881389
51.337378,-0.252579,1.0,3.3775041178980167,3.3775041178980167
51.337402,-0.252526,1.0,4.557513321052087,4.557513321052087
51.337423,-0.252481,1.0,3.910572849521901,3.910572849521901
51.337443,-0.252435,1.0,3.9021806656174376,3.9021806656174376
51.337462,-0.25239,1.0,3.781845283745878,3.781845283745878
51.337478,-0.252352,1.0,3.1907962544644306,3.1907962544644306
51.337495,-0.252318,1.0,3.03166964423593,3.03166964423593
51.337515,-0.252281,1.0,3.405778036537081,3.405778036537081
51.337533,-0.252237,1.0,3.6622589950193207,3.6622589950193207
51.337551,-0.252194,1.0,3.6041137591845778,3.6041137591845778
